id,title,verdict,reason,has_photo,step_count,ingredient_count,source_prefix
canada-turkey-veggie-stuffed-pita,Turkey and vegetable pita,FIX,sparse steps for ingredient count,1,2,10,canada
canada-ultimate-mixed-bean-salad,Mixed bean salad,KEEP,cookable,1,3,12,canada
canada-vegetable-curry,Chickpea and vegetable curry,KEEP,cookable,1,7,12,canada
canada-vietnamese-inspired-beef-noodle-soup,Pho (beef noodle soup),KEEP,cookable,1,3,16,canada
canada-west-coast-snapper-burritos,Whitefish burritos,KEEP,cookable,1,5,13,canada
canada-whole-wheat-flour-tortillas,Whole wheat flour tortillas,KEEP,cookable,1,7,6,canada
canada-yogurt-bark-berries,Yogurt bark with berries,KEEP,cookable,1,7,5,canada
canada-zaatar-chicken-sheet-pan-dinner,Za’atar chicken sheet pan dinner,KEEP,cookable,1,5,10,canada
canada-zesty-bean-dip-chips,Zesty bean dip and baked chips,KEEP,cookable,1,4,11,canada
cck_000779fd6a423b38d39e43,Greek wine,FIX,missing photo,0,3,1,cck
cck_0010fd1f7af13f8801e73e,Bonanza Punch,FIX,missing photo,0,6,4,cck
cck_0029e212d662d32e075c23,Blue Blazer,KEEP,cookable,1,10,7,cck
cck_00380dc7e782f242bb111c,Agua de Valencia,KEEP,cookable,1,4,4,cck
cck_00507a15ed336d155c031e,Bénédictine glacée,DELETE,no cooking verbs,0,1,1,cck
cck_0054da407e7cb62ac0b8b4,Pompier High Ball,DELETE,all-garbage ingredients,0,4,0,cck
cck_005d65f9e53fc789221415,Tea Punch,FIX,missing photo,0,6,3,cck
cck_007af519029056fe8b34ac,Painkiller (cocktail),DELETE,empty/fragment instructions,0,1,5,cck
cck_0091e8400563ec5f11f7ac,Fitzgerald,FIX,weak/short instructions,0,3,4,cck
cck_0095ba70a5e573085388e1,Amer Picon,FIX,missing photo,0,3,2,cck
cck_00a870359c4121cce006cd,Ti' Punch,FIX,missing photo,0,3,3,cck
cck_00a89718002167a902fa97,Bachelor's Rose,DELETE,all-garbage ingredients,1,2,0,cck
cck_00ba1f0fb8d38eb4b9bd79,Egg Nogg,FIX,missing photo,0,3,3,cck
cck_00bc47c39328bbf893f4c8,Breakfast martini,KEEP,cookable,1,2,1,cck
cck_00c0c8d9b7427b236bcefd,Sherry Cobbler,DELETE,all-garbage ingredients,1,1,0,cck
cck_00d67b41f3a969e429f8e2,Zombie (Modern Spec),FIX,missing photo,0,3,9,cck
cck_00dcdb69b20b4465b685dd,Creamsicle (cocktail),FIX,missing photo,0,2,5,cck
cck_00e7f1091f403c95171334,Malaga (wine),FIX,missing photo,0,3,1,cck
cck_00ee4fc66650028d7376f3,The Laverstoke,KEEP,cookable,1,4,7,cck
cck_00f0953723c3ddcd802f75,Rhine- Wine Punch,FIX,missing photo,0,2,1,cck
cck_00fb29ad0db4deafda6abe,Mr. Bali Hai,FIX,missing photo,0,4,6,cck
cck_011e65153cff7c3e793d04,Zazarac Cocktail,FIX,ingredient parser failure (instructions ok),0,9,0,cck
cck_01462482d359604688ce0c,Sherry and Bitters,DELETE,all-garbage ingredients,1,1,0,cck
cck_0155e7fcf2417a661822fe,Strawberry Shivers,KEEP,cookable,1,2,3,cck
cck_0156c324bf518531b15095,Moscow Mule,KEEP,cookable,1,4,3,cck
cck_015a91978def4adb8ed1c5,Harvey Wallbanger (cocktail),FIX,missing photo,0,2,3,cck
cck_01a39c543ecab0495d1151,Gin High Ball,DELETE,all-garbage ingredients,0,4,0,cck
cck_01acba1641f2a54c094bc0,Pisco Inferno,FIX,missing photo,0,4,5,cck
cck_01b8753c7c4bb46dad9945,Caribbean Orange Liqueur,KEEP,cookable,1,9,3,cck
cck_01caa66570aef3352952a4,Spaulding Cocktail,DELETE,all-garbage ingredients,0,4,0,cck
cck_01e02d9f78d762389b5a11,Glee Club Punch,FIX,missing photo,0,1,3,cck
cck_01e3ef55d25eedf46f4510,Chicago Fizz,FIX,sparse steps for ingredient count,1,2,6,cck
cck_01e9a421585313a6b5a692,Rickey (cocktail),FIX,missing photo,0,2,3,cck
cck_01ecb5e03d990cd706ae7f,Addison Special,KEEP,cookable,1,3,3,cck
cck_01fa5ab4c9700f96c97cc2,Tequila Old Fashioned,FIX,missing photo,0,3,4,cck
cck_022416d8b3cc1f111432cf,Crystal Slipper,DELETE,no cooking verbs,0,4,0,cck
cck_022a5d5dcc85c32ad87f9e,Porter Cup,FIX,missing photo,0,3,5,cck
cck_022d855d278356517b64b3,Durkee Cocktail,FIX,missing photo,0,9,4,cck
cck_023579e725961b2a2d4d7e,Applejack Cocktail,DELETE,all-garbage ingredients,0,2,0,cck
cck_023cf550d854550466b9e2,Manhattan (Modern Spec),FIX,missing photo,0,3,3,cck
cck_02448f9b537d64c53556f3,Wine in China,KEEP,cookable,1,3,1,cck
cck_0245cd90df74845942b0d7,Snowball,FIX,ingredient parser failure (instructions ok),0,4,0,cck
cck_02738d8d3caf7ee1bbb8e5,Tom Collins,FIX,ingredient parser failure (instructions ok),1,7,0,cck
